audio0,audio1,audio2,audio3,audio4,audio5
https://jacob.ml/salASR/audios/0_t_2.wav,https://jacob.ml/salASR/audios/1_b_5.wav,https://jacob.ml/salASR/audios/2_r_8.wav,https://jacob.ml/salASR/audios/3_t_2.wav,https://jacob.ml/salASR/audios/4_b_5.wav,https://jacob.ml/salASR/audios/5_r_8.wav
https://jacob.ml/salASR/audios/0_b_5.wav,https://jacob.ml/salASR/audios/1_r_8.wav,https://jacob.ml/salASR/audios/2_t_2.wav,https://jacob.ml/salASR/audios/3_b_5.wav,https://jacob.ml/salASR/audios/4_r_8.wav,https://jacob.ml/salASR/audios/5_t_2.wav
https://jacob.ml/salASR/audios/0_r_8.wav,https://jacob.ml/salASR/audios/1_t_2.wav,https://jacob.ml/salASR/audios/2_b_5.wav,https://jacob.ml/salASR/audios/3_r_8.wav,https://jacob.ml/salASR/audios/4_t_2.wav,https://jacob.ml/salASR/audios/5_b_5.wav
https://jacob.ml/salASR/audios/0_t_2.wav,https://jacob.ml/salASR/audios/1_b_5.wav,https://jacob.ml/salASR/audios/2_r_8.wav,https://jacob.ml/salASR/audios/3_t_2.wav,https://jacob.ml/salASR/audios/4_b_5.wav,https://jacob.ml/salASR/audios/5_r_8.wav
https://jacob.ml/salASR/audios/0_b_5.wav,https://jacob.ml/salASR/audios/1_r_8.wav,https://jacob.ml/salASR/audios/2_t_2.wav,https://jacob.ml/salASR/audios/3_b_5.wav,https://jacob.ml/salASR/audios/4_r_8.wav,https://jacob.ml/salASR/audios/5_t_2.wav
https://jacob.ml/salASR/audios/0_r_8.wav,https://jacob.ml/salASR/audios/1_t_2.wav,https://jacob.ml/salASR/audios/2_b_5.wav,https://jacob.ml/salASR/audios/3_r_8.wav,https://jacob.ml/salASR/audios/4_t_2.wav,https://jacob.ml/salASR/audios/5_b_5.wav
https://jacob.ml/salASR/audios/0_t_2.wav,https://jacob.ml/salASR/audios/1_b_5.wav,https://jacob.ml/salASR/audios/2_r_8.wav,https://jacob.ml/salASR/audios/3_t_2.wav,https://jacob.ml/salASR/audios/4_b_5.wav,https://jacob.ml/salASR/audios/5_r_8.wav
https://jacob.ml/salASR/audios/0_b_5.wav,https://jacob.ml/salASR/audios/1_r_8.wav,https://jacob.ml/salASR/audios/2_t_2.wav,https://jacob.ml/salASR/audios/3_b_5.wav,https://jacob.ml/salASR/audios/4_r_8.wav,https://jacob.ml/salASR/audios/5_t_2.wav
https://jacob.ml/salASR/audios/0_r_8.wav,https://jacob.ml/salASR/audios/1_t_2.wav,https://jacob.ml/salASR/audios/2_b_5.wav,https://jacob.ml/salASR/audios/3_r_8.wav,https://jacob.ml/salASR/audios/4_t_2.wav,https://jacob.ml/salASR/audios/5_b_5.wav
https://jacob.ml/salASR/audios/6_t_2.wav,https://jacob.ml/salASR/audios/7_b_5.wav,https://jacob.ml/salASR/audios/8_r_8.wav,https://jacob.ml/salASR/audios/9_t_2.wav,https://jacob.ml/salASR/audios/10_b_5.wav,https://jacob.ml/salASR/audios/11_r_8.wav
https://jacob.ml/salASR/audios/6_b_5.wav,https://jacob.ml/salASR/audios/7_r_8.wav,https://jacob.ml/salASR/audios/8_t_2.wav,https://jacob.ml/salASR/audios/9_b_5.wav,https://jacob.ml/salASR/audios/10_r_8.wav,https://jacob.ml/salASR/audios/11_t_2.wav
https://jacob.ml/salASR/audios/6_r_8.wav,https://jacob.ml/salASR/audios/7_t_2.wav,https://jacob.ml/salASR/audios/8_b_5.wav,https://jacob.ml/salASR/audios/9_r_8.wav,https://jacob.ml/salASR/audios/10_t_2.wav,https://jacob.ml/salASR/audios/11_b_5.wav
https://jacob.ml/salASR/audios/6_t_2.wav,https://jacob.ml/salASR/audios/7_b_5.wav,https://jacob.ml/salASR/audios/8_r_8.wav,https://jacob.ml/salASR/audios/9_t_2.wav,https://jacob.ml/salASR/audios/10_b_5.wav,https://jacob.ml/salASR/audios/11_r_8.wav
https://jacob.ml/salASR/audios/6_b_5.wav,https://jacob.ml/salASR/audios/7_r_8.wav,https://jacob.ml/salASR/audios/8_t_2.wav,https://jacob.ml/salASR/audios/9_b_5.wav,https://jacob.ml/salASR/audios/10_r_8.wav,https://jacob.ml/salASR/audios/11_t_2.wav
https://jacob.ml/salASR/audios/6_r_8.wav,https://jacob.ml/salASR/audios/7_t_2.wav,https://jacob.ml/salASR/audios/8_b_5.wav,https://jacob.ml/salASR/audios/9_r_8.wav,https://jacob.ml/salASR/audios/10_t_2.wav,https://jacob.ml/salASR/audios/11_b_5.wav
https://jacob.ml/salASR/audios/6_t_2.wav,https://jacob.ml/salASR/audios/7_b_5.wav,https://jacob.ml/salASR/audios/8_r_8.wav,https://jacob.ml/salASR/audios/9_t_2.wav,https://jacob.ml/salASR/audios/10_b_5.wav,https://jacob.ml/salASR/audios/11_r_8.wav
https://jacob.ml/salASR/audios/6_b_5.wav,https://jacob.ml/salASR/audios/7_r_8.wav,https://jacob.ml/salASR/audios/8_t_2.wav,https://jacob.ml/salASR/audios/9_b_5.wav,https://jacob.ml/salASR/audios/10_r_8.wav,https://jacob.ml/salASR/audios/11_t_2.wav
